Name,Query,TransfermarktId
Giuseppe Rossi,giuseppe-rossi,19104
Lucas Hernández,lucas-hernandez,281963
Marko Marin,marko-marin,35251
Ahmed Hassan,ahmed-hassan,184816
Ghayas Zahid,ghayas-zahid,236693
Germán Voboril,german-voboril,54496
Stephan Lichtsteiner,stephan-lichtsteiner,2865
Luisinho,luisinho,223765
Niklas Hult,niklas-hult,113039
Manuel Iturra,manuel-iturra,40428
David Marshall,david-marshall,9500
Daniel Torres,daniel-torres,34886
Charlie Daniels,charlie-daniels,61819
Rúben Neves,ruben-neves,225161
Felix Bastians,felix-bastians,39083
Mehmet Ekici,mehmet-ekici,39724
Walker Zimmerman,walker-zimmerman,245337
Micah Richards,micah-richards,32617
Lacina Traoré,lacina-traore,69006
Oğuzhan Özyakup,oguzhan-ozyakup,77966
Necip Uysal,necip-uysal,77710
Cristopher Toselli,cristopher-toselli,72903
Sebastian Jung,sebastian-jung,49730
Manuel Lanzini,manuel-lanzini,135853
Oscar Hiljemark,oscar-hiljemark,158810
John O'Shea,john-oshea,3540
Lior Refaelov,lior-refaelov,24484
Luis Alberto,luis-alberto,128220
Dennis Aogo,dennis-aogo,19354
Danilo Cataldi,danilo-cataldi,199733
N'Golo Kanté,ngolo-kante,225083
Robbin Ruiter,robbin-ruiter,81775
Óscar Romero,oscar-romero,217886
Mexer,mexer,127610
Anton Kanibolotskyi,anton-kanibolotskyi,58945
Yannick Bolasie,yannick-bolasie,75471
Mathieu Flamini,mathieu-flamini,17396
Brecht Dejaegere,brecht-dejaegere,159098
Ademilson,ademilson,187208
Leonel Vangioni,leonel-vangioni,55895
Yoan Gouffran,yoan-gouffran,23825
Mathieu Debuchy,mathieu-debuchy,27306
Juankar,juankar,126625
Aritz Elustondo,aritz-elustondo,229804
Pablo Hernández,pablo-hernandez,46220
Santiago García,santiago-garcia,102432
Tomoaki Makino,tomoaki-makino,106064
İrfan Can Kahveci,irfan-can-kahveci,216603
Brahian Alemán,brahian-aleman,76886
Rômulo,romulo,121756
Andy Delort,andy-delort,122797
Ezequiel Schelotto,ezequiel-schelotto,119164
Yannick Carrasco,yannick-carrasco,140776
Vid Belec,vid-belec,73090
Gianluca Caprari,gianluca-caprari,146752
Erick Pulgar,erick-pulgar,215616
Romain Alessandrini,romain-alessandrini,98334
Jonas Svensson,jonas-svensson,136184
Federico Marchetti,federico-marchetti,22318
Jonathan dos Santos,jonathan-dos-santos,60445
Bernard Mensah,bernard-mensah,324321
César Montes,cesar-montes,387687
Andrés Fernández,andres-fernandez,57522
Marcel Sabitzer,marcel-sabitzer,106987
Harry Maguire,harry-maguire,177907
Jano Ananidze,jano-ananidze,105496
